sentences,triples,verb,cluster,triples_id
"Anything past 90 ° E or 90 ° W would not be seen from Earth , except for libration , which makes 59 % of the Moon visible .","['libration', 'make', 'QUANT_O_1 of Moon visible']",make,1,"[[51395, 18335, 85396]]"
"Praying with Anger is a 1992 Indian-American drama film , known for M. Night Shyamalan who made his directorial debut , produced , wrote and starred in the film .","['M. Shyamalan', 'make', 'directorial debut']",make,1,"[[74165, 18335, 74758]]"
"In 2002 , Larry Clark made `` Ken Park '' , based on a script Korine had written several years earlier .","['Larry Clark', 'make', 'Ken Park']",make,1,"[[62338, 18335, 48077]]"
"Yavanna made the Two Trees , named `` Telperion '' -LRB- the silver tree -RRB- and `` Laurelin '' -LRB- the golden tree -RRB- in the land of Aman .","['Yavanna', 'make', 'QUANT_O_1 Trees']",make,1,"[[82547, 18335, 58935]]"
"Later , Arjuna built the Aranmula Parthasarathy Temple during his conquest for Ashvamedha in South India .","['Arjuna', 'build', 'Aranmula Parthasarathy Temple']",build,1,"[[41724, 20776, 56741]]"
"Bombardier subsidiaries have three specific roles in the project : Canadair is the design leader and manufactures the nose ; Short Brothers , Belfast , is responsible for the design and manufacture of the engine nacelles , horizontal stabiliser and forward fuselage ; and de Havilland Canada builds the rear fuselage and vertical tail and carries out final assembly .","['de Havilland Canada', 'build', 'vertical tail']",build,1,"[[59423, 20776, 1037]]"
"As the states build freeways as a new classification of highways , the state may strip the old highway of its old designation as a numbered highway or downgrade it to a `` lesser '' status .","['state', 'build', 'freeway']",build,1,"[[11332, 20776, 30869]]"
"As the version in Exodus and 1 Kings are written by Deuteronomistic According to , after Jeroboam establishes the northern Kingdom of Israel , he contemplates the sacrificial practices of the Israelites .","['Jeroboam', 'establish', 'northern Kingdom of Israel']",establish,1,"[[43623, 16371, 29485]]"
"NCIS traces its roots to Navy Department General Order 292 of 1882 , signed by William H. Hunt , Secretary of the Navy , which established the Office of Naval Intelligence -LRB- ONI -RRB- .","['William H. Hunt', 'establish', 'Office of Naval Intelligence']",establish,1,"[[84459, 16371, 40645]]"
"The Indo-Greeks ultimately disappeared as a political entity around 10 AD following the invasions of the Indo-Scythians , although pockets of Greek populations probably remained for several centuries longer under the subsequent rule of the Indo-Parthians and Kushans In 326 BC , Alexander the Great conquered the northwestern part of the Indian subcontinent as far as the Hyphasis River , and established satrapies and founded several settlements , including Bucephala ; he turned south when his troops refused to go further east .","['Alexander the Great', 'establish', 'satrapy']",establish,1,"[[7053, 16371, 72644]]"
