,Model,params,ARS,N_cl_opt
146,DistMult_2nd_best,"{'cluster': 'agglomerative', 'evaluate': 'derivative', 'linkage': 'ward', 'max_clust': 28, 'metric': 'euclidean'}",0.05703674914712614,5.0
144,DistMult_2nd_best,"{'cluster': 'agglomerative', 'evaluate': 'derivative', 'linkage': 'ward', 'max_clust': 25, 'metric': 'euclidean'}",0.05703674914712614,5.0
147,DistMult_2nd_best,"{'cluster': 'agglomerative', 'evaluate': 'derivative', 'linkage': 'ward', 'max_clust': 30, 'metric': 'euclidean'}",0.05703674914712614,5.0
145,DistMult_2nd_best,"{'cluster': 'agglomerative', 'evaluate': 'derivative', 'linkage': 'ward', 'max_clust': 26, 'metric': 'euclidean'}",0.05703674914712614,5.0
55,DistMult_2nd_best,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'median', 'max_clust': 30, 'metric': 'cosine'}",0.02584325729308637,5.0
32,DistMult_2nd_best,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 25, 'metric': 'euclidean'}",0.02584325729308637,5.0
7,DistMult_2nd_best,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'ward', 'max_clust': 30, 'metric': 'cosine'}",0.02584325729308637,5.0
41,DistMult_2nd_best,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'centroid', 'max_clust': 25, 'metric': 'cosine'}",0.024858773771849398,5.0
18,DistMult_2nd_best,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'complete', 'max_clust': 26, 'metric': 'euclidean'}",0.024858773771849398,5.0
38,DistMult_2nd_best,"{'cluster': 'kmeans', 'evaluate': 'silhouette', 'linkage': 'weighted', 'max_clust': 30, 'metric': 'euclidean'}",0.024858773771849398,5.0
